 Шаг Элемент       Позиция X/R  Позиция Y/A  Позиция Z       Размер База        
  96 Окружность       +55.8304     -48.6732    +0.0950      +0.5327             
  97 Окружность       +54.8372     -49.6378    +0.0120      +0.5994             
  98 Окружность       +53.8416     -49.6403    +0.0650      +0.5166             
  99 Окружность       +52.8574     -49.6142    +0.0650      +0.5303             
 100 Окружность       +51.8581     -49.5854    +0.0650      +0.5404             
 101 Окружность       +50.8632     -49.5689    +0.0650      +0.5336             
 102 Окружность       +49.8798     -49.5627    +0.0650      +0.5327             
 103 Окружность       +48.8818     -49.5456    +0.0650      +0.5401             
 104 Окружность       +47.8995     -49.5335    +0.0630      +0.5285             
 105 Окружность       +46.9035     -49.5345    +0.0630      +0.5848             
 106 Окружность       +45.9176     -49.5230    +0.0630      +0.5387             
 107 Окружность       +44.9214     -49.5013    +0.0630      +0.5235             
 108 Окружность       +43.9372     -49.4989    +0.0630      +0.5222             
 109 Окружность       +42.9434     -49.5006    +0.0630      +0.5338             
 110 Окружность       +41.9547     -49.4937    +0.0630      +0.5261             
 111 Окружность       +40.9610     -49.4777    +0.0630      +0.5303             
 112 Окружность       +39.9662     -49.4722    +0.0630      +0.5380             
 113 Окружность       +38.9733     -49.4722    +0.0630      +0.5242             
 114 Окружность       +37.9960     -49.4574    +0.0630      +0.5327             
 115 Окружность       +37.0071     -49.4615    +0.0630      +0.5376             
 116 Окружность       +36.0185     -49.4735    +0.0630      +0.5545             
 117 Окружность       +35.0402     -49.4535    +0.0630      +0.5783             
 118 Окружность       +34.0620     -49.4598    +0.0630      +0.5234             
 119 Окружность       +33.0782     -49.4705    +0.0630      +0.5268             
 120 Окружность       +32.0816     -49.4621    +0.0630      +0.5372             
 121 Окружность       +31.0857     -49.4401    +0.0630      +0.5663             
 122 Окружность       +30.0959     -49.4567    +0.0630      +0.5760             
 123 Окружность       +29.1171     -49.4850    +0.0630      +0.5668             
 124 Окружность       +28.1276     -49.4640    +0.0630      +0.5836             
 125 Окружность       +27.1380     -49.4830    +0.0630      +0.5744             
 126 Окружность       +26.1504     -49.4685    +0.0630      +0.5840             
 127 Окружность       +25.1481     -49.4928    +0.0630      +0.5787             
 128 Окружность       +24.1769     -49.4966    +0.0630      +0.5777             
 129 Окружность       +23.1844     -49.4876    +0.0630      +0.5863             
 130 Окружность       +22.1929     -49.4919    +0.0630      +0.5177             
 131 Окружность       +21.1892     -49.5037    +0.0630      +0.5243             
 132 Окружность       +20.2148     -49.5118    +0.0630      +0.5316             
 133 Окружность       +19.2190     -49.5169    +0.0630      +0.5257             
 134 Окружность       +18.2209     -49.5372    +0.0630      +0.5668             
 135 Окружность       +17.2390     -49.5351    +0.0630      +0.5209             
 136 Окружность       +16.2465     -49.5368    +0.0630      +0.5253             
 137 Окружность       +15.2550     -49.5536    +0.0630      +0.5820             
 138 Окружность       +14.2731     -49.5526    +0.0630      +0.5175             
 139 Окружность       +13.2795     -49.5807    +0.0630      +0.5264             
 140 Окружность       +12.2854     -49.5946    +0.0630      +0.5233             
 141 Окружность       +11.2882     -49.6010    +0.0630      +0.5721             
 142 Окружность       +10.3072     -49.6156    +0.0630      +0.5193             
 143 Окружность        +9.3063     -49.6408    +0.0630      +0.5216             
 144 Окружность        +8.3066     -49.6599    +0.0630      +0.5895             
 145 Окружность        +7.3163     -49.6745    +0.0630      +0.5343             
 146 Окружность        +6.3193     -49.6843    +0.0630      +0.5856             
 147 Окружность        +5.3234     -49.7068    +0.0630      +0.5264             
 148 Окружность        +4.3296     -49.7381    +0.0630      +0.5716             
 149 Окружность        +3.3447     -49.7380    +0.0630      +0.5795             
