 Шаг Элемент       Позиция X/R  Позиция Y/A  Позиция Z       Размер База        
 389 Дистанция         +0.0143      +0.9902    +0.0000      +0.9903 161, 162    
 390 Дистанция         +0.0022      +0.9807    +0.0000      +0.9807 162, 163    
 391 Дистанция         +0.0010      +0.9824    +0.0000      +0.9824 163, 164    
 392 Дистанция         +0.0074      +0.9865    +0.0000      +0.9866 164, 165    
 393 Дистанция         +0.0071      +0.9993    +0.0000      +0.9993 165, 166    
 394 Дистанция         +0.0046      +0.9864    +0.0000      +0.9864 166, 167    
 395 Дистанция         +0.0188      +0.9789    +0.0000      +0.9790 167, 168    
 396 Дистанция         +0.0044      +1.0004    +0.0000      +1.0004 168, 169    
 397 Дистанция         +0.0122      +0.9896    +0.0000      +0.9897 169, 170    
 398 Дистанция         +0.0148      +0.9787    +0.0000      +0.9788 170, 171    
 399 Дистанция         +0.0207      +0.9903    +0.0000      +0.9906 171, 172    
 400 Дистанция         +0.0026      +0.9987    +0.0000      +0.9987 172, 173    
 401 Дистанция         +0.0216      +0.9844    +0.0000      +0.9847 173, 174    
 402 Дистанция         +0.0048      +1.0061    +0.0000      +1.0061 174, 175    
 403 Дистанция         +0.0117      +0.9823    +0.0000      +0.9823 175, 176    
 404 Дистанция         +0.0028      +0.9938    +0.0000      +0.9938 176, 177    
 405 Дистанция         +0.0007      +0.9875    +0.0000      +0.9875 177, 178    
 406 Дистанция         +0.0112      +0.9863    +0.0000      +0.9864 178, 179    
 407 Дистанция         +0.0100      +1.0072    +0.0000      +1.0073 179, 180    
 408 Дистанция         +0.0155      +0.9927    +0.0000      +0.9928 180, 181    
 409 Дистанция         +0.0190      +0.9884    +0.0000      +0.9886 181, 182    
 410 Дистанция         +0.0090      +0.9996    +0.0000      +0.9996 182, 183    
 411 Дистанция         +0.0098      +0.9786    +0.0000      +0.9786 183, 184    
 412 Дистанция         +0.0168      +0.9911    +0.0000      +0.9912 184, 185    
 413 Дистанция         +0.0221      +0.9993    +0.0000      +0.9995 185, 186    
 414 Дистанция         +0.0101      +0.9873    +0.0000      +0.9874 186, 187    
 415 Дистанция         +0.0244      +1.0004    +0.0000      +1.0007 187, 188    
 416 Дистанция         +0.0149      +0.9921    +0.0000      +0.9922 188, 189    
 417 Дистанция         +0.0272      +0.9842    +0.0000      +0.9845 189, 190    
 418 Дистанция         +0.0217      +1.0006    +0.0000      +1.0009 190, 191    
 419 Дистанция         +0.0170      +0.9995    +0.0000      +0.9997 191, 192    
 420 Дистанция         +0.9784      +1.0150    +0.0740      +1.4098 192, 1      
 421 Дистанция         +0.0217      +1.0003    +0.0190      +1.0005 7, 193      
 422 Дистанция         +0.0245      +0.9965    +0.0190      +0.9968 11, 194     
 423 Дистанция         +0.0248      +0.9984    +0.0190      +0.9987 15, 195     
 424 Дистанция         +0.0181      +1.0032    +0.0190      +1.0033 19, 196     
 425 Дистанция         +0.0078      +0.9949    +0.0190      +0.9949 23, 197     
 426 Дистанция         +0.0217      +0.9972    +0.0190      +0.9975 27, 198     
 427 Дистанция         +0.0212      +1.0012    +0.0190      +1.0015 31, 199     
 428 Дистанция         +0.0213      +0.9971    +0.0190      +0.9973 35, 200     
 429 Дистанция         +0.0198      +0.9929    +0.0190      +0.9931 39, 201     
 430 Дистанция         +0.0186      +0.9880    +0.0190      +0.9881 43, 202     
 431 Дистанция         +0.0190      +1.0011    +0.0190      +1.0012 47, 203     
 432 Дистанция         +0.9756      +0.0081    +0.0190      +0.9756 59, 204     
 433 Дистанция         +0.9814      +0.0146    +0.0190      +0.9815 63, 205     
 434 Дистанция         +0.9572      +0.0016    +0.0190      +0.9572 67, 206     
 435 Дистанция         +0.9723      +0.0081    +0.0190      +0.9724 71, 207     
 436 Дистанция         +0.9675      +0.0036    +0.0190      +0.9675 75, 208     
 437 Дистанция         +0.9722      +0.0018    +0.0190      +0.9722 79, 209     
 438 Дистанция         +0.9512      +0.0049    +0.0190      +0.9512 83, 210     
 439 Дистанция         +0.9511      +0.0060    +0.0190      +0.9511 87, 211     
 440 Дистанция         +0.9602      +0.0184    +0.0330      +0.9604 91, 212     
 441 Дистанция         +0.0205      +0.9696    +0.0020      +0.9699 99, 213     
 442 Дистанция         +0.0248      +0.9609    +0.0020      +0.9613 103, 214    
 443 Дистанция         +0.0164      +0.9465    +0.0000      +0.9467 107, 215    
 444 Дистанция         +0.0206      +0.9657    +0.0000      +0.9659 111, 216    
 445 Дистанция         +0.0216      +0.9511    +0.0000      +0.9513 115, 217    
 446 Дистанция         +0.0118      +0.9782    +0.0000      +0.9782 119, 218    
 447 Дистанция         +0.0054      +0.9833    +0.0000      +0.9833 123, 219    
 448 Дистанция         +0.0007      +0.9748    +0.0000      +0.9748 127, 220    
 449 Дистанция         +0.0128      +0.9698    +0.0000      +0.9699 131, 221    
 450 Дистанция         +0.0120      +0.9666    +0.0000      +0.9667 135, 222    
 451 Дистанция         +0.0197      +0.9625    +0.0000      +0.9627 139, 223    
 452 Дистанция         +0.0098      +0.9743    +0.0000      +0.9743 143, 224    
 453 Дистанция         +0.9785      +0.0007    +0.0000      +0.9785 155, 225    
 454 Дистанция         +0.9601      +0.0061    +0.0000      +0.9601 163, 226    
 455 Дистанция         +0.9850      +0.0105    +0.0000      +0.9851 183, 227    
 456 Дистанция         +0.9814      +0.0213    +0.0000      +0.9816 187, 228    
 457 Линия             +3.9209      -2.8004    -0.3980    +180.2765             
 458 Линия            +16.0901      -2.7772    -0.3980    +180.3558             
 459 Линия            +30.2807      -2.7094    -0.3980    +180.6294             
 460 Линия            +44.7362      -2.6456    -0.3980    +180.8767             
 461 Линия            +53.8174      -2.5704    -0.3980    +180.4817             
 462 Линия            +59.3603      -7.7296    -0.3980     +89.7238             
 463 Линия            +59.2254     -17.3133    -0.3980     +89.4451             
 464 Линия            +59.1707     -27.5047    -0.3980     +89.9290             
 465 Линия            +59.1494     -37.8197    -0.3980     +90.2029             
 466 Линия            +59.2055     -48.5006    -0.3980     +89.6576             
 467 Линия            +54.2134     -52.7711    -0.3980      +0.2980             
 468 Линия            +45.0805     -52.6667    -0.3980    +359.9653             
 469 Линия            +31.0846     -52.6268    -0.3980      +0.5665             
 470 Линия            +16.6892     -52.7231    -0.3980      +1.0415             
 471 Линия             +3.6298     -52.9349    -0.3980      +0.3680             
 472 Линия             -0.8257     -48.6185    -0.3980    +270.2935             
 473 Линия             -0.8153     -37.2859    -0.3980    +270.5922             
 474 Линия             -0.8824     -26.2745    -0.3980    +270.6074             
 475 Линия             -0.9972     -16.0402    -0.3980    +271.0649             
 476 Линия             -1.1671      -6.9198    -0.3980    +268.8275             
